year	id	EMPL	AV	STAF	TURN	TOAS
1993	PL2982				2187	1040
1993	PL3003				13845	
1993	PL3006				6208	5618
1993	PL3015			3859	9492	22931
1993	PL3017		2399	1399	4888	5122
1993	PL3041				24905	5783
1993	PL3044				19040	20965
1993	PL3055				15938	17802
1993	PL3056				17344	11495
1993	PL3062			5914	18624	11294
1993	PL3063				2218	811
1993	PL3064			17554	39303	97946
1993	PL3072				37528	
1993	PL3083				10434	24018
1993	PL3085				9443	16838
1993	PL3099				20652	51144
1993	PL3103				29804	30662
1993	PL3105				34450	
1993	PL3107		14106	8959	25360	17950
1993	PL3131		1719	1837	5959	11330
1993	PL3178		2217	875	5514	3399
1993	PL3185				51462	12480
1993	PL3189		2848	2187	5495	4927
1993	PL3194				7946	10035
1993	PL3199				17174	
1993	PL3247		13662	8203	40594	25916
1993	PL3250				31105	53214
1993	PL3254				19888	
1993	PL3257				5692	3120
1993	PL3265		368100	155768	811612	1077950
1993	PL3294			1799	14261	
1993	PL3296				26120	15825
1993	PL3323				8740	8462
1993	PL3349				104385	
1993	PL3355				4922	2968
1993	PL3402		7411	5676	11619	20264
1993	PL3413		4430	3841	12792	24924
1993	PL3423				13360	22497
1993	PL3438				64154	
1993	PL3455				20942	30629
1993	PL3461		2694	2210	10377	10569
1993	PL3468				11178	4841
1993	PL3481		6015	4009	16259	15238
1993	PL3484				34457	
1993	PL3531				7133	17574
1993	PL3541		15220	9533	55766	49477
1993	PL3546				2196	1230
1993	PL3606		4085	1393	17391	12071
1993	PL3616		955810	254273	1278938	1937805
1993	PL3659				56690	30395
1993	PL3672				29919	22273
1993	PL3685		1443	650	16539	4314
1993	PL3693				5170	6352
1993	PL3702		5137	6050	45988	36960
1993	PL3705				51564	6687
1993	PL3736				17232	
1993	PL3743				54730	18300
1993	PL3757		18089	18254	101674	103425
1993	PL3764			2683	16531	5851
1993	PL3766				13874	15378
1993	PL3781				20966	
1993	PL3790				10634	3817
1993	PL3837				10636	7380
1993	PL3938				17932	11334
1993	PL3939		2566	678	13112	11067
1993	PL3942			1432	9346	2857
1993	PL3976				50037	
1993	PL3978				25707	
1993	PL4003		1545	4269	11043	18148
1993	PL4011			812	32738	3453
1993	PL4035			3945	9022	9013
1993	PL4070				8713	9212
1993	PL4089		5184	3244	11921	11600
1993	PL4110				13018	
1993	PL4123		5341	3890	10452	6094
1993	PL4127		6030	2832	22738	11703
1993	PL4137				28781	
1993	PL4188				7257	4803
1993	PL4192				4747	3036
1993	PL4196		40439	77061	1150805	1168282
1993	PL4203			11002	39157	45195
1993	PL4230			2884	14966	21768
1993	PL4258				18178	4553
1993	PL4264		8294	3803	17111	23306
1993	PL4265				15558	5933
1993	PL4277				20881	22370
1993	PL4286				12329	8088
1993	PL4287				11688	6924
1993	PL4289				20458	25928
1993	PL4290				63193	102088
1993	PL4291			3133	9807	7598
1993	PL4312		2766	1264	5716	6320
1993	PL4320				27985	10832
1993	PL4328				7909	10173
1993	PL4329					11072
1993	PL4336				8368	7958
1993	PL4338				16707	8925
1993	PL4361				7395	2617
1993	PL4372		1749	518	11651	4027
1993	PL4403		4709	3919	10898	9146
1993	PL4410				32782	
1993	PL4438			7164	34194	24961
1993	PL4456				37943	16703
1993	PL4479			6618	49434	52587
1993	PL4486				12235	5177
1993	PL4495				6339	11032
1993	PL4514				11534	3909
1993	PL4526		9101	4528	15873	21397
1993	PL4541			6348	46387	51102
1993	PL4542				9348	21984
1993	PL4561				19267	11987
1993	PL4563		11735	4206	19758	23490
1993	PL4565		65588	6472	2283772	584243
1993	PL4568			2765	34107	26528
1993	PL4569				5126	
1993	PL4570		5052	2734	13957	7658
1993	PL4575		5604	3482	19106	14245
1993	PL4578			447	24534	3157
1993	PL4598			2444	6782	3856
1993	PL4608			2441	9966	7549
